snd/DA         	12.17	    A	       1	     0	  6601
rcv            	12.17	    D	    6951	    50	     1
snd/DA         	12.17	    A	       1	     0	  6601
rcv            	12.17	    D	    7001	    50	     1
snd/DA         	12.17	    A	       1	     0	  6601
rcv            	12.17	    D	    7001	    50	     1
snd/DA         	12.17	    A	       1	     0	  6601
rcv            	12.17	    D	    7051	    50	     1
snd/DA         	12.17	    A	       1	     0	  6601
rcv/corr       	12.17	    D	    6601	    50	     1
rcv            	12.17	    D	    6601	    50	     1
snd            	12.17	    A	       1	     0	  7101
rcv            	12.17	    D	    6601	    50	     1
snd/DA         	12.17	    A	       1	     0	  7101
rcv            	12.17	    D	    7151	    50	     1
snd/DA         	12.17	    A	       1	     0	  7101
rcv            	12.17	    D	    7201	    50	     1
snd/DA         	12.17	    A	       1	     0	  7101
rcv            	12.17	    D	    7251	    50	     1
snd/DA         	12.17	    A	       1	     0	  7101
rcv            	12.17	    D	    7301	    50	     1
snd/DA         	12.17	    A	       1	     0	  7101
rcv            	12.17	    D	    7301	    50	     1
snd/DA         	12.17	    A	       1	     0	  7101
rcv            	12.17	    D	    7351	    50	     1
snd/DA         	12.17	    A	       1	     0	  7101
rcv            	12.17	    D	    7401	    50	     1
snd/DA         	12.17	    A	       1	     0	  7101
rcv            	12.17	    D	    7451	    50	     1
snd/DA         	12.17	    A	       1	     0	  7101
rcv            	12.17	    D	    7501	    50	     1
snd/DA         	12.17	    A	       1	     0	  7101
rcv/corr       	12.17	    D	    7101	    50	     1
rcv            	12.17	    D	    7101	    50	     1
snd            	12.17	    A	       1	     0	  7551
rcv            	12.19	    D	    7101	    50	     1
snd/DA         	12.19	    A	       1	     0	  7551
rcv            	12.19	    D	    7601	    50	     1
snd/DA         	12.19	    A	       1	     0	  7551
rcv            	12.19	    D	    7651	    50	     1
snd/DA         	12.19	    A	       1	     0	  7551
rcv            	12.19	    D	    7701	    50	     1
snd/DA         	12.19	    A	       1	     0	  7551
rcv/corr       	12.19	    D	    7751	    50	     1
rcv            	12.19	    D	    7801	    50	     1
snd/DA         	12.19	    A	       1	     0	  7551
rcv            	12.19	    D	    7851	    50	     1
snd/DA         	12.19	    A	       1	     0	  7551
rcv            	12.19	    D	    7901	    50	     1
snd/DA         	12.19	    A	       1	     0	  7551
rcv            	12.19	    D	    7901	    50	     1
snd/DA         	12.19	    A	       1	     0	  7551
rcv            	12.19	    D	    8001	    50	     1
snd/DA         	12.19	    A	       1	     0	  7551
rcv            	12.19	    D	    8001	    50	     1
snd/DA         	12.19	    A	       1	     0	  7551
rcv/corr       	12.19	    D	    7551	    50	     1
rcv            	12.19	    D	    7551	    50	     1
snd            	12.19	    A	       1	     0	  7751
rcv            	12.19	    D	    7951	    50	     1
snd/DA         	12.19	    A	       1	     0	  7751
rcv            	12.19	    D	    7551	    50	     1
snd/DA         	12.19	    A	       1	     0	  7751
rcv            	12.19	    D	    7551	    50	     1
snd/DA         	12.19	    A	       1	     0	  7751
rcv            	12.19	    D	    8051	    50	     1
snd/DA         	12.19	    A	       1	     0	  7751
rcv            	12.19	    D	    8101	    50	     1
snd/DA         	12.19	    A	       1	     0	  7751
rcv            	12.19	    D	    8151	    50	     1
snd/DA         	12.19	    A	       1	     0	  7751
rcv            	12.19	    D	    8201	    50	     1
snd/DA         	12.19	    A	       1	     0	  7751
rcv            	12.19	    D	    7751	    50	     1
snd            	12.19	    A	       1	     0	  8251
rcv/corr       	12.19	    D	    7751	    50	     1
rcv            	12.19	    D	    8251	    50	     1
snd            	12.19	    A	       1	     0	  8301
rcv/corr       	12.19	    D	    8301	    50	     1
